Invoice_ID,Date,Product_ID,Region,Sales_Rep,Quantity,Unit_Price,Discount,Total_Sale
1,2024-04-20,P014,East,SalesRep_6,4,17.85,0.06,71.34
2,2024-05-24,P020,South,SalesRep_1,1,19.85,2,17.85
3,2024-06-26,P012,East,SalesRep_10,2,19.07,4.81,33.33
4,2024-02-06,P012,North,SalesRep_6,1,18.35,3.66,14.69
5,2024-04-25,P019,North,SalesRep_4,2,22.78,1.81,43.75
6,2024-01-27,P020,East,SalesRep_10,9,19.32,1.45,172.43
7,2024-04-29,P011,West,SalesRep_5,3,24.72,4.51,69.65
8,2024-03-10,P014,South,SalesRep_2,3,16.5,1.26,48.24
9,2024-02-23,P007,South,SalesRep_7,4,110.33,3.48,437.84
10,2024-04-27,P004,North,SalesRep_6,6,69.14,1.72,413.12
11,2024-04-29,P003,South,SalesRep_3,4,107.7,3.76,427.04
12,2024-03-29,P015,East,SalesRep_3,9,84.97,2.23,762.5
13,2024-05-20,P006,East,SalesRep_5,7,98.96,0.02,692.7
14,2024-05-08,P014,North,SalesRep_2,8,17.41,3.46,135.82
15,2024-06-17,P017,West,SalesRep_9,2,49.24,4.48,94
16,2024-04-21,P010,North,SalesRep_8,2,32.75,3.26,62.24
17,2024-06-06,P013,West,SalesRep_5,2,66.44,4.41,128.47
18,2024-06-01,P017,South,SalesRep_6,2,64.29,2.92,125.66
19,2024-06-12,P018,West,SalesRep_7,5,48.49,3.07,239.38
20,2024-03-08,P008,East,SalesRep_6,6,56.02,4.18,331.94
21,2024-05-22,P003,South,SalesRep_3,8,113.21,1.6,904.08
22,2024-06-26,P006,South,SalesRep_7,3,103.12,3.8,305.56
23,2024-05-09,P011,West,SalesRep_2,3,23.75,2.66,68.59
24,2024-05-17,P015,North,SalesRep_6,9,92.54,2.59,830.27
25,2024-03-11,P010,South,SalesRep_8,4,30.21,1.27,119.57
26,2024-06-27,P012,North,SalesRep_2,5,18.57,2.57,90.28
27,2024-05-05,P007,North,SalesRep_9,10,123.18,0.79,1231.01
28,2024-05-31,P002,South,SalesRep_9,4,117.68,1.3,469.42
29,2024-03-13,P014,North,SalesRep_4,9,14.85,0.27,133.38
30,2024-01-21,P012,South,SalesRep_1,7,17.89,2.75,122.48
31,2024-06-02,P011,North,SalesRep_7,3,24.19,0.66,71.91
32,2024-06-07,P017,North,SalesRep_8,8,58.16,4.29,460.99
33,2024-03-18,P005,South,SalesRep_10,4,104.75,0.93,418.07
34,2024-04-08,P006,East,SalesRep_6,9,88.85,1.78,797.87
35,2024-03-15,P018,North,SalesRep_5,2,42.19,2.66,81.72
36,2024-03-24,P001,East,SalesRep_7,10,91.23,0.93,911.37
37,2024-06-07,P008,South,SalesRep_10,7,49.27,3.59,341.3
38,2024-04-21,P014,East,SalesRep_2,10,19.34,0.44,192.96
39,2024-04-15,P014,North,SalesRep_7,9,14.93,3.24,131.13
40,2024-04-22,P012,West,SalesRep_9,7,18.26,4.6,123.22
41,2024-04-07,P010,North,SalesRep_1,4,34.47,3.36,134.52
42,2024-02-28,P017,North,SalesRep_3,6,56.78,1.27,339.41
43,2024-06-20,P010,East,SalesRep_3,9,36.11,2.65,322.34
44,2024-02-06,P009,North,SalesRep_1,5,68.94,0.01,344.69
45,2024-02-17,P014,East,SalesRep_10,3,17.25,1.58,50.17
46,2024-05-23,P018,North,SalesRep_6,3,45.11,2.28,133.05
47,2024-04-25,P004,West,SalesRep_6,8,86.36,0.67,690.21
48,2024-03-08,P008,East,SalesRep_1,4,53.82,0.06,215.22
49,2024-01-12,P019,West,SalesRep_10,4,24.78,4.33,94.79
50,2024-01-19,P005,East,SalesRep_1,3,107.14,1.93,319.49
51,2024-05-18,P013,West,SalesRep_8,2,68.08,2.6,133.56
52,2024-03-29,P013,East,SalesRep_6,4,70.49,2.09,279.87
53,2024-05-20,P020,East,SalesRep_6,2,19.68,2.62,36.74
54,2024-02-10,P015,West,SalesRep_7,3,101.22,3.85,299.81
55,2024-04-01,P007,East,SalesRep_10,7,98.6,3.28,686.92
56,2024-05-20,P004,East,SalesRep_4,9,83.67,2.83,750.2
57,2024-03-18,P010,East,SalesRep_3,4,31.61,1.99,124.45
58,2024-05-16,P004,East,SalesRep_7,2,78.08,2.13,154.03
59,2024-01-27,P006,South,SalesRep_4,4,100.27,3.57,397.51
60,2024-02-19,P009,West,SalesRep_9,8,66.34,3.08,527.64
61,2024-05-02,P019,South,SalesRep_6,3,22.9,4.67,64.03
62,2024-03-13,P014,East,SalesRep_2,8,17.44,1.59,137.93
63,2024-06-17,P006,East,SalesRep_3,10,99.8,1.18,996.82
64,2024-05-13,P010,South,SalesRep_5,5,34.37,0.79,171.06
65,2024-04-22,P003,North,SalesRep_4,4,105.82,3.33,419.95
66,2024-04-01,P003,East,SalesRep_3,2,107.33,0.97,213.69
67,2024-02-17,P013,West,SalesRep_1,9,71.67,3.23,641.8
68,2024-02-22,P016,East,SalesRep_10,2,55.95,3.74,108.16
69,2024-06-16,P009,South,SalesRep_7,4,71.79,1.1,286.06
70,2024-01-03,P010,North,SalesRep_3,8,30.55,2.52,241.88
71,2024-02-22,P013,North,SalesRep_10,10,62.47,4.56,620.14
72,2024-03-09,P013,North,SalesRep_4,1,65.69,3.24,62.45
73,2024-04-06,P014,East,SalesRep_3,6,16.46,1.72,97.04
74,2024-04-20,P014,North,SalesRep_6,7,17.67,1.55,122.14
75,2024-06-15,P002,East,SalesRep_9,4,105.61,4.04,418.4
76,2024-02-17,P005,West,SalesRep_6,5,100.41,4.39,497.66
77,2024-02-29,P019,East,SalesRep_1,1,23.48,0.4,23.08
78,2024-02-12,P006,North,SalesRep_6,1,89.52,1.53,87.99
79,2024-06-07,P019,East,SalesRep_1,1,24.43,2.91,21.52
80,2024-02-18,P005,West,SalesRep_1,8,108.34,3.05,863.67
81,2024-04-20,P010,East,SalesRep_1,5,34.89,4.21,170.24
82,2024-02-05,P014,West,SalesRep_8,3,19.16,4.4,53.08
83,2024-05-10,P001,North,SalesRep_7,7,87.14,3.21,606.77
84,2024-04-21,P012,North,SalesRep_3,6,17.67,0.94,105.08
85,2024-01-03,P005,East,SalesRep_4,1,111.97,2.67,109.3
86,2024-02-08,P019,West,SalesRep_8,10,21.61,1.81,214.29
87,2024-05-18,P007,East,SalesRep_9,4,95.41,3.04,378.6
88,2024-04-22,P016,East,SalesRep_6,9,56.69,0.52,509.69
89,2024-06-08,P011,North,SalesRep_9,7,30.23,3.89,207.72
90,2024-02-07,P018,South,SalesRep_4,3,37.98,3.48,110.46
91,2024-02-02,P014,West,SalesRep_1,9,18.71,1.36,167.03
92,2024-06-25,P018,North,SalesRep_7,4,50.44,3.32,198.44
93,2024-03-25,P019,East,SalesRep_4,1,27.35,2.9,24.45
94,2024-03-18,P020,East,SalesRep_9,2,19.85,1.7,38
95,2024-05-10,P001,West,SalesRep_5,2,112.73,2.53,222.93
96,2024-05-24,P002,East,SalesRep_4,8,111.49,2.43,889.49
97,2024-05-10,P020,North,SalesRep_10,7,23.34,1.81,161.57
98,2024-04-14,P016,South,SalesRep_6,5,48.68,0.17,243.23
99,2024-03-16,P018,North,SalesRep_6,7,50.4,4.16,348.64
100,2024-06-07,P001,East,SalesRep_10,5,93.42,0.76,466.34
101,2024-04-06,P020,South,SalesRep_4,6,21.28,4.53,123.15
102,2024-05-17,P013,North,SalesRep_6,2,72.63,0.3,144.96
103,2024-04-01,P008,South,SalesRep_5,4,60.13,4.93,235.59
104,2024-01-25,P018,South,SalesRep_4,4,42.18,4.29,164.43
105,2024-03-29,P017,East,SalesRep_6,5,55.81,0.99,278.06
106,2024-06-28,P013,East,SalesRep_10,6,70.95,1.45,424.25
107,2024-06-14,P014,North,SalesRep_6,1,18.16,0.35,17.81
108,2024-03-13,P011,South,SalesRep_1,4,29.43,4.67,113.05
109,2024-03-27,P004,West,SalesRep_9,7,72.39,0.85,505.88
110,2024-02-10,P003,North,SalesRep_4,3,118.87,0,356.61
111,2024-05-22,P019,East,SalesRep_8,4,22.96,1.3,90.54
112,2024-01-16,P005,South,SalesRep_8,6,91.22,2.56,544.76
113,2024-04-14,P002,South,SalesRep_8,5,121.35,2.62,604.13
114,2024-04-26,P008,South,SalesRep_9,2,63.64,3.35,123.93
115,2024-04-20,P018,North,SalesRep_5,6,49.7,0.52,297.68
116,2024-02-24,P009,North,SalesRep_9,6,67.93,1.12,406.46
117,2024-06-28,P007,North,SalesRep_2,7,120.47,3.45,839.84
118,2024-03-07,P014,East,SalesRep_7,3,17.82,0.95,52.51
119,2024-04-08,P011,South,SalesRep_6,8,30.78,4.23,242.01
120,2024-04-08,P014,West,SalesRep_10,3,19.01,1.12,55.91
121,2024-04-11,P011,West,SalesRep_6,5,24.28,0.02,121.38
122,2024-01-05,P011,North,SalesRep_7,1,28.05,0.12,27.93
123,2024-01-23,P018,West,SalesRep_2,3,46.84,4.4,136.12
124,2024-06-29,P004,North,SalesRep_5,9,84.74,0.95,761.71
125,2024-06-27,P015,East,SalesRep_2,7,88.05,2.11,614.24
126,2024-01-30,P007,West,SalesRep_1,9,103.57,3.09,929.04
127,2024-02-24,P018,North,SalesRep_10,2,45.07,2.45,87.69
128,2024-02-07,P017,South,SalesRep_8,7,59.1,2.07,411.63
129,2024-04-10,P012,South,SalesRep_1,3,17.6,4.4,48.4
130,2024-02-10,P019,East,SalesRep_7,10,24.63,0.26,246.04
131,2024-05-25,P002,East,SalesRep_8,10,125.86,1.62,1256.98
132,2024-01-23,P012,East,SalesRep_4,6,21.29,3.63,124.11
133,2024-03-10,P014,West,SalesRep_7,7,16.3,1.04,113.06
134,2024-04-11,P014,East,SalesRep_10,9,17.18,4.27,150.35
135,2024-06-16,P020,North,SalesRep_6,6,20.31,0.56,121.3
136,2024-06-07,P017,West,SalesRep_4,3,58.69,3.38,172.69
137,2024-01-18,P017,South,SalesRep_8,9,50.37,1.97,451.36
138,2024-04-26,P008,East,SalesRep_3,7,54.09,0.75,377.88
139,2024-06-02,P017,West,SalesRep_5,4,49.62,4.87,193.61
140,2024-03-14,P008,North,SalesRep_6,1,51.63,3.58,48.05
141,2024-06-17,P006,East,SalesRep_1,8,99.72,1.54,796.22
142,2024-06-25,P001,West,SalesRep_10,3,113.13,3.47,335.92
143,2024-01-10,P018,East,SalesRep_9,3,40.93,4.04,118.75
144,2024-03-03,P010,South,SalesRep_10,9,29.74,0.91,266.75
145,2024-05-08,P003,North,SalesRep_6,7,114.89,0.68,803.55
146,2024-06-13,P010,East,SalesRep_1,1,29.92,3.68,26.24
147,2024-01-28,P020,South,SalesRep_5,3,18.25,3.32,51.43
148,2024-02-21,P004,West,SalesRep_10,4,76.82,0.39,306.89
149,2024-03-14,P004,West,SalesRep_8,5,71.84,2.7,356.5
150,2024-02-13,P011,West,SalesRep_10,2,30.21,2,58.42
151,2024-01-16,P001,West,SalesRep_9,3,94.34,3,280.02
152,2024-05-22,P018,South,SalesRep_3,3,41.83,2.33,123.16
153,2024-01-01,P009,West,SalesRep_3,7,69.58,0.91,486.15
154,2024-06-21,P013,North,SalesRep_5,6,69.59,0.4,417.14
155,2024-04-19,P005,North,SalesRep_5,10,102.6,3.2,1022.8
156,2024-06-03,P003,South,SalesRep_3,5,104.45,1.75,520.5
157,2024-03-02,P018,West,SalesRep_7,6,43.59,2,259.54
158,2024-06-10,P018,East,SalesRep_4,5,46.92,4.23,230.37
159,2024-03-03,P007,West,SalesRep_1,9,99.43,3.58,891.29
160,2024-01-26,P016,East,SalesRep_5,4,57.35,3.69,225.71
161,2024-05-27,P019,East,SalesRep_8,2,25.52,1.16,49.88
162,2024-06-01,P011,North,SalesRep_5,6,23.23,3.42,135.96
163,2024-05-02,P013,South,SalesRep_9,1,61.41,0.34,61.07
